Time(s), Pressure(PSI)
0,31.4202
1.0,31.373
2.0,31.3921
3.0,31.3253
4.0,31.2088
5.0,31.2244
6.0,31.1966
7.0,31.1757
8.0,31.1372
9.0,31.1031
10.0,31.0954
11.0,31.0132
12.0,31.0019
13.0,30.9807
14.0,30.8767
15.0,30.8574
16.0,30.9156
17.0,30.8572
18.0,30.7931
19.0,30.7701
20.0,30.7404
21.0,30.6929
22.0,30.6554
23.0,30.6525
24.0,30.6039
25.0,30.5626
26.0,30.5708
27.0,30.4894
28.0,30.5104
29.0,30.4611
30.0,30.4064
31.0,30.3784
32.0,30.3845
33.0,30.3305
34.0,30.3372
35.0,30.237
36.0,30.2394
37.0,30.2232
38.0,30.1586
39.0,30.1664
40.0,30.1008
41.0,30.149
42.0,30.0614
43.0,30.0402
44.0,30.0475
45.0,30.0061
46.0,29.9133
47.0,29.9545
48.0,29.9502
49.0,29.942
50.0,29.968
51.0,29.8887
52.0,29.8447
53.0,29.8362
54.0,29.7903
55.0,29.7974
56.0,29.8175
57.0,29.755
58.0,29.7294
59.0,29.6949
60.0,29.6936
61.0,29.6465
62.0,29.6575
63.0,29.6225
64.0,29.5794
65.0,29.5677
66.0,29.554
67.0,29.5057
68.0,29.486
69.0,29.4882
70.0,29.4425
71.0,29.4549
72.0,29.4425
73.0,29.4502
74.0,29.3412
75.0,29.3959
76.0,29.3842
77.0,29.3367
78.0,29.3799
79.0,29.3067
80.0,29.2621
81.0,29.2803
82.0,29.2845
83.0,29.23
84.0,29.2671
85.0,29.2159
86.0,29.2063
87.0,29.1669
88.0,29.202
89.0,29.1566
90.0,29.1449
91.0,29.1182
92.0,29.0831
93.0,29.0237
94.0,29.0505
95.0,29.055
96.0,29.042
97.0,29.0142
98.0,28.9978
99.0,28.9548
100.0,28.9511
101.0,28.9382
102.0,28.9485
103.0,28.9112
104.0,28.8743
105.0,28.8521
106.0,28.3705
107.0,27.7643
108.0,27.2233
109.0,26.793
110.0,26.3317
111.0,25.9296
112.0,25.5497
113.0,25.1984
114.0,24.8788
115.0,24.5836
116.0,24.2827
117.0,23.9788
118.0,23.6962
119.0,23.4432
120.0,23.1983
121.0,22.9941
122.0,22.7989
123.0,22.5803
124.0,22.4529
125.0,22.2208
126.0,22.0305
127.0,21.8351
128.0,21.7136
129.0,21.5152
130.0,21.4019
131.0,21.2376
132.0,21.0895
133.0,20.9511
134.0,20.8487
135.0,20.6876
136.0,20.5673
137.0,20.4785
138.0,20.3301
139.0,20.2402
140.0,20.1406
141.0,20.0655
142.0,19.9325
143.0,19.8745
144.0,19.7456
145.0,19.6585
146.0,19.6057
147.0,19.5126
148.0,19.4587
149.0,19.4281
150.0,19.3425
151.0,19.2737
152.0,19.2405
153.0,19.2135
154.0,19.1243
155.0,19.0975
156.0,19.0607
157.0,19.0672
158.0,18.9902
159.0,18.9022
160.0,18.9447
161.0,18.8939
162.0,18.8686
163.0,18.8402
164.0,18.8271
165.0,18.7807
166.0,18.7793
167.0,18.8124
168.0,18.7827
169.0,18.7679
170.0,18.7568
171.0,18.7474
172.0,18.6898
173.0,18.7125
174.0,18.6761
175.0,18.6654
176.0,18.6725
177.0,18.6675
178.0,18.636
179.0,18.6792
180.0,18.6316
181.0,18.6743
182.0,18.6326
183.0,18.5576
184.0,18.4178
185.0,18.4077
186.0,18.3714
187.0,18.2972
188.0,18.2928
189.0,18.1983
190.0,18.1323
191.0,18.1197
192.0,18.0389
193.0,17.964
194.0,17.9663
195.0,17.879
196.0,17.8441
197.0,17.8253
198.0,17.7557
199.0,17.7953
200.0,17.7785
201.0,17.7184
202.0,17.7015
203.0,17.7018
204.0,17.7082
205.0,17.5965
206.0,17.6536
207.0,17.6397
208.0,17.6161
209.0,17.6271
210.0,17.6848
211.0,17.5895
212.0,17.6326
213.0,17.6109
214.0,17.5841
215.0,17.593
216.0,17.5819
217.0,17.5789
218.0,17.5917
219.0,17.6065
220.0,17.5754
221.0,17.5886
222.0,17.5999
223.0,17.5605
224.0,17.6269
225.0,17.6065
226.0,17.5838
227.0,17.6091
228.0,17.5904
229.0,17.6164
230.0,17.6106
231.0,17.6161
232.0,17.6108
233.0,17.6468
234.0,17.6737
235.0,17.6313
236.0,17.6814
237.0,17.717
238.0,17.6968
239.0,17.7148
240.0,17.7556
241.0,17.7621
242.0,17.7724
243.0,17.7672
244.0,17.8185
245.0,17.8777
246.0,17.8971
247.0,17.9339
248.0,17.9948
249.0,18.0049
250.0,18.0589
251.0,18.1487
252.0,18.2749
253.0,18.3127
254.0,18.45
255.0,18.5053
256.0,18.5746
257.0,18.6729
258.0,18.7616
259.0,18.8295
260.0,18.9785
261.0,19.0286
262.0,19.1172
263.0,19.2771
264.0,19.3788
265.0,19.4713
266.0,19.6131
267.0,19.7244
268.0,19.8008
269.0,19.888
270.0,20.0437
271.0,20.1165
272.0,20.2458
273.0,20.3311
274.0,20.4553
275.0,20.5787
276.0,20.6476
277.0,20.7783
278.0,20.8816
279.0,21.059
280.0,21.0921
281.0,21.2222
282.0,21.3791
283.0,21.4339
284.0,21.6158
285.0,21.6719
286.0,21.7857
287.0,21.9198
288.0,21.9976
289.0,22.1014
290.0,22.2076
291.0,22.3599
292.0,22.432
293.0,22.5367
294.0,22.6518
295.0,22.7977
296.0,22.9106
297.0,23.023
298.0,23.1769
299.0,23.2315
300.0,23.4038
301.0,23.4942
302.0,23.5191
303.0,23.5246
304.0,23.5534
305.0,23.6626
306.0,23.7828
307.0,23.7876
308.0,23.8331
309.0,23.8803
310.0,23.897
311.0,24.0138
312.0,24.1017
313.0,24.2513
314.0,24.3249
315.0,24.4907
316.0,24.5416
317.0,24.6958
318.0,24.8596
319.0,25.0019
320.0,25.07
321.0,25.2209
322.0,25.3273
323.0,25.4972
324.0,25.6613
325.0,25.7305
326.0,25.7788
327.0,25.9289
328.0,26.012
329.0,26.0523
330.0,26.1286
331.0,26.2536
332.0,26.3026
333.0,26.4636
334.0,26.5131
335.0,26.5908
336.0,26.729
337.0,26.8122
338.0,26.8753
339.0,27.028
340.0,27.0965
341.0,27.1978
342.0,27.3426
343.0,27.4444
344.0,27.6036
345.0,27.7484
346.0,27.8825
347.0,28.0014
348.0,28.186
349.0,28.4394
350.0,28.5488
